tract,buss_licences,building_violations,vehicle_theft,burglary,robbery,public_peace_violation,weapons_violation,sexual_assault,homicides,rodents,garbage,sanitation,abandon_vehicles,pot_holes,tree_trims,street_lights,S0101_C01_001E,S1101_C01_002E,S1401_C02_001E,S1401_C02_030E,S1501_C02_002E,S1501_C02_008E,S1601_C02_003E,S1701_C03_001E,S1810_C03_001E,S1901_C01_012E,S2201_C02_001E,S2301_C03_001E,S2701_C03_001E
40202,1.9429083843969512,16.2905395307129,1.7934538932894935,2.69018083993424,0.5978179644298312,0.7472724555372889,0.5978179644298312,0.2989089822149156,0.0,5.9781796442983115,5.529816170975938,2.5407263488267824,6.127634135405769,18.08399342400239,13.4509041996712,3.586907786578987,6691.0,2.35,72.1,-888888888.0,20.7,6.0,54.5,25.3,13.5,37178.0,531.0,60.8,24.5
40300,2.6355421686746987,3.765060240963855,1.506024096385542,6.024096385542168,0.753012048192771,0.3765060240963855,0.753012048192771,0.0,0.0,7.906626506024096,25.22590361445783,5.271084337349397,7.906626506024096,36.52108433734939,30.873493975903614,3.38855421686747,2656.0,2.57,74.9,-888888888.0,0.0,0.7,62.6,8.1,7.6,84750.0,44.0,64.8,12.9
40401,1.0578279266572639,14.809590973201693,2.4682651622002822,1.763046544428773,0.3526093088857546,0.0,0.3526093088857546,0.0,0.0,15.162200282087447,15.867418899858958,5.289139633286319,5.6417489421720735,26.09308885754584,20.803949224259522,2.4682651622002822,2836.0,2.33,46.9,-888888888.0,0.0,6.1,51.5,12.0,6.9,66215.0,36.0,71.9,11.6
40402,2.7653690704105514,13.614124654328867,1.48904488406722,2.1272069772388855,0.6381620931716656,0.6381620931716656,0.21272069772388855,0.0,0.0,18.719421399702192,5.743458838544991,8.508827908955542,4.254413954477771,16.37949372473942,11.69963837481387,4.041693256753883,4701.0,1.93,65.3,-888888888.0,-666666666.0,3.3,49.2,8.7,5.4,64153.0,121.0,81.3,11.7
40600,8.56929955290611,14.903129657228018,1.4903129657228018,5.216095380029806,1.4903129657228018,0.7451564828614009,0.0,0.0,0.0,14.157973174366616,9.687034277198212,4.470938897168405,10.804769001490312,20.491803278688522,10.432190760059612,2.2354694485842024,2684.0,2.21,46.9,-888888888.0,0.0,1.0,73.7,8.0,5.0,69479.0,52.0,79.7,11.7
40700,3.5788845809722636,16.104980614375187,0.5964807634953773,2.08768267223382,1.1929615269907545,0.5964807634953773,0.29824038174768863,0.0,0.0,16.403220996122872,9.245451834178347,4.17536534446764,6.263048016701461,25.052192066805844,15.508499850879808,0.8947211452430659,3353.0,2.24,57.8,-888888888.0,0.0,2.4,60.9,9.2,4.9,73556.0,44.0,75.2,12.2
40800,2.7548209366391188,2.7548209366391188,3.856749311294766,2.7548209366391188,0.0,0.0,0.0,0.0,0.0,3.3057851239669422,9.366391184573002,5.5096418732782375,11.019283746556475,20.9366391184573,14.325068870523417,1.6528925619834711,1815.0,2.17,48.1,-888888888.0,29.4,3.4,66.9,5.3,9.0,72625.0,10.0,69.0,10.1
40900,8.970727101038717,1.41643059490085,0.9442870632672333,7.554296506137867,0.0,0.47214353163361666,0.0,0.9442870632672333,0.0,13.220018885741267,8.498583569405099,1.41643059490085,5.193578847969783,19.8300283286119,16.052880075542966,3.7771482530689333,2118.0,2.02,19.1,-888888888.0,0.0,2.8,75.1,6.0,10.8,68472.0,0.0,76.8,7.7
50100,3.3250207813798833,13.300083125519533,1.6625103906899417,6.234413965087281,0.8312551953449708,0.0,0.0,0.0,0.0,6.650041562759767,8.728179551122194,2.909393183707398,10.80631753948462,14.54696591853699,6.650041562759767,2.0781379883624274,2406.0,2.13,46.6,-888888888.0,-666666666.0,4.0,80.8,2.9,3.0,74875.0,16.0,77.2,11.2
50200,2.734375,4.296875,1.953125,2.34375,1.171875,0.1953125,0.0,0.0,0.0,14.6484375,10.7421875,2.5390625,7.2265625,18.9453125,13.0859375,2.5390625,5120.0,2.26,45.5,-888888888.0,0.0,6.7,55.9,3.3,9.1,71514.0,81.0,68.3,7.0
